Date (YMD),Advancers,Decliners,Unchanged,RANA,19-day EMA,39-day EMA,Oscillator,Index
19860304,995,727,370,155.6329849013,155.4385036461,137.1144230984,18.3240805477,3288.7817205423
19860305,718,975,390,-151.8015357354,124.714499708,122.6686251567,2.0458745513,3290.8275950936
19860306,1066,583,408,292.9047907823,141.5335288154,131.180433438,10.3530953774,3301.180690471
19860307,880,778,426,61.5199034982,133.5321662837,127.697406941,5.8347593427,3307.0154498137
19860310,991,665,413,196.8599033816,139.8649399935,131.155531763,8.7094082305,3315.7248580442
19860311,1363,371,329,572.0876585928,183.0872118534,153.2021381045,29.8850737489,3345.6099317931
19860312,1129,643,324,274.2663656885,192.2051272369,159.2553494837,32.9497777532,3378.5597095463
19860313,864,833,397,18.2675309369,174.8113676069,152.2059585564,22.6054090505,3401.1651185968
19860314,1028,646,400,228.1959378734,180.1498246336,156.0054575222,24.1443671113,3425.3094857081
19860317,522,1244,337,-408.8335220838,121.2514899618,127.7635085419,-6.5120185801,3418.797467128
19860318,1038,667,384,217.5953079179,130.8858717574,132.2550985107,-1.3692267533,3417.4282403748
19860319,772,885,429,-68.1955340978,110.9777311719,122.2325668803,-11.2548357084,3406.1734046664
19860320,925,720,421,124.6200607903,112.3419641338,122.3519415758,-10.009977442,3396.1634272243
19860321,1020,718,327,173.7629459148,118.4840623119,124.9224917928,-6.4384294809,3389.7249977434
19860324,736,1018,338,-160.7753705815,90.5581190225,110.637598674,-20.0794796515,3369.6455180919
19860325,684,987,374,-181.328545781,63.3694525422,96.0392914513,-32.6698389091,3336.9756791828
19860326,1116,565,387,327.7810826889,89.8106155568,107.6263810132,-17.8157654563,3319.1599137265
19860327,1159,549,372,357.1428571429,116.5438397154,120.1022048197,-3.5583651042,3315.6015486223
19860331,853,862,368,-5.2478134111,104.3646744028,113.8347039081,-9.4700295053,3306.1315191169
19860401,644,1129,329,-273.5476593345,66.5734410291,94.465585746,-27.8921447169,3278.2393744
19860402,748,899,399,-91.6818457802,50.7479123481,85.1582141697,-34.4103018215,3243.8290725785
19860403,530,1178,371,-379.3911007026,7.7340110431,61.9307484261,-54.196737383,3189.6323351955
19860404,454,1250,351,-467.1361502347,-39.7530050847,35.477403493,-75.2304085777,3114.4019266177
19860407,664,1015,367,-209.0530077427,-56.6830053505,23.2508829312,-79.9338882818,3034.468038336
19860408,1392,330,326,616.724738676,10.6577690521,52.9245757185,-42.2668066663,2992.2012316697
19860409,990,688,388,179.9761620977,27.5896083567,59.2771550374,-31.6875466807,2960.5136849889
19860410,1097,536,415,343.5394978567,59.1845973067,73.4902721784,-14.3056748717,2946.2080101172
19860411,815,817,403,-1.2254901961,53.1435885564,69.7544840597,-16.6108955033,2929.5971146139
19860414,981,653,417,200.7343941248,67.9026691133,76.3034795629,-8.4008104497,2921.1963041643
19860415,840,798,407,25.641025641,63.676504766,73.7703568668,-10.0938521008,2911.1024520635
19860416,1305,397,338,533.4900117509,110.6578554645,96.756339611,13.9015158535,2925.0039679169
19860417,998,695,380,178.9722386297,117.489293781,100.867134562,16.6221592191,2941.626127136
19860418,883,789,402,56.2200956938,111.3623739723,98.6347826186,12.7275913537,2954.3537184898
19860421,1032,675,361,209.1388400703,121.1400205821,104.1599854912,16.980035091,2971.3337535807
19860422,659,1030,389,-219.6566015394,87.06035837,87.9691561396,-0.9087977697,2970.424955811
19860423,637,1073,339,-254.9707602339,52.8572465096,70.8221603209,-17.9649138114,2952.4600419997
19860424,815,784,418,19.3871169481,49.5102335534,68.2504081523,-18.7401745989,2933.7198674008
19860425,762,876,414,-69.5970695971,37.5995032384,61.3580342648,-23.7585310265,2909.9613363743
19860428,761,812,421,-32.4221233312,30.5973405814,56.669026385,-26.0716858036,2883.8896505707
19860429,499,1153,389,-395.8837772397,-12.0507712007,34.0413862038,-46.0921574045,2837.7974931662
19860430,365,1353,354,-575.0873108265,-68.3544251633,3.5849513523,-71.9393765156,2765.8581166507
19860501,643,1004,397,-219.1863995143,-83.4376225984,-7.553616191,-75.8840064073,2689.9741102433
19860502,785,828,411,-26.658400496,-77.7597003881,-8.5088554063,-69.2508449818,2620.7232652615
19860505,1119,528,379,358.8342440801,-34.1003059413,9.858299568,-43.9586055093,2576.7646597521
19860506,801,754,446,30.2250803859,-27.6677673086,10.8766386089,-38.5444059175,2538.2202538346
19860507,579,1019,406,-275.3441802253,-52.4354086003,-3.4344023328,-49.0010062675,2489.2192475672
19860508,1008,589,399,262.3669380088,-20.9551739394,9.8556646843,-30.8108386236,2458.4084089435
19860509,853,741,419,70.2634880803,-11.8333077374,12.8760558541,-24.7093635915,2433.699045352
19860512,698,899,409,-125.860989355,-23.2360758992,5.9392035936,-29.1752794928,2404.5237658592
19860513,681,896,434,-136.334812936,-34.5459496028,-1.1744972328,-33.37145237,2371.1523134893
19860514,778,767,454,7.1197411003,-30.3793805325,-0.7597853162,-29.6195952163,2341.5327182729
19860515,451,1149,405,-436.25,-70.9664424793,-22.5342960504,-48.4321464289,2293.100571844
19860516,563,1002,438,-280.5111821086,-91.9209164422,-35.4331403533,-56.4877760889,2236.6127957551
19860519,714,790,480,-50.5319148936,-87.7820162873,-36.1880790803,-51.593937207,2185.0188585481
19860520,979,597,417,242.385786802,-54.7652359784,-22.2593857862,-32.5058501922,2152.5130083559
19860521,774,759,464,9.7847358121,-48.3102387994,-20.6571797063,-27.6530590931,2124.8599492628
19860522,1218,452,360,458.6826347305,2.3890485536,3.3098110156,-0.9207624619,2123.9391868009
19860523,938,611,405,211.1039380245,23.2605375007,13.699517366,9.5610201347,2133.5002069356
19860527,1198,485,301,423.6482471777,63.2993084684,34.1969538566,29.1023546118,2162.6025615474
19860528,996,652,378,208.7378640777,77.8431640293,42.9239993676,34.9191646617,2197.5217262091
19860529,835,754,427,50.9754562618,75.1563932526,43.3265722124,31.8298210402,2229.3515472493
19860530,736,836,427,-63.6132315522,61.2794307721,37.9795820241,23.299848748,2252.6513959973
19860602,534,1055,373,-327.8791692889,22.363570766,19.6866444585,2.6769263075,2255.3283223048
19860603,748,793,435,-29.2018170019,17.2070319892,17.2422213855,-0.0351893962,2255.2931329086
19860604,561,973,436,-268.5788787484,-11.3715590845,2.9511663788,-14.3227254633,2240.9704074453
19860605,843,699,429,93.3852140078,-0.8958817753,7.4728687602,-8.3687505355,2232.6016569098
19860606,684,831,450,-97.0297029703,-10.5092638948,2.2477401737,-12.7570040685,2219.8446528413
19860609,279,1420,274,-671.5715126545,-76.6154887708,-31.4432224677,-45.1722663031,2174.6723865382
19860610,628,941,405,-199.4901210962,-88.9029520033,-39.8455673991,-49.0573846042,2125.615001934
19860611,959,582,436,244.6463335496,-55.548023448,-25.6209723517,-29.9270510963,2095.6879508377
19860612,807,732,419,48.7329434698,-45.1199267562,-21.9032765606,-23.2166501956,2072.4713006421
19860613,1198,371,393,527.0873167623,12.1007975956,5.5462531055,6.5545444901,2079.0258451322
19860616,754,815,393,-38.8782664117,7.0028911949,3.3250271297,3.6778640652,2082.7037091974
19860617,622,992,375,-229.2441140025,-16.6218093249,-8.303429927,-8.3183793979,2074.3853297995
19860618,673,851,458,-116.7979002625,-26.6394184186,-13.7281534437,-12.9112649749,2061.4740648246
